year,WBcode,lsc,lhc,yr_sch
1950,DZA,0.46,0.16,0.85
1955,DZA,0.5,0.14,0.84
1960,DZA,1.05,0.17,0.88
1965,DZA,1.79,0.23,1.1
1970,DZA,3.26,0.18,1.55
1975,DZA,5.1,0.38,2.11
1980,DZA,7.56,0.77,2.81
1985,DZA,11.31,1.34,3.99
1990,DZA,14.35,1.97,4.74
1995,DZA,16.37,2.53,5.41
2000,DZA,15.41,3.4,5.67
2005,DZA,14,3.78,5.54
2010,DZA,17.08,6.66,6.68
1950,BEN,0.57,0.09,0.44
1955,BEN,0.65,0.1,0.53
1960,BEN,0.74,0.11,0.61
1965,BEN,0.89,0.13,0.76
1970,BEN,1,0.13,0.84
1975,BEN,1.18,0.13,0.94
1980,BEN,2.08,0.14,1.22
1985,BEN,3.52,0.41,1.71
1990,BEN,5.51,0.52,2.16
1995,BEN,7.54,0.81,2.61
2000,BEN,10.36,1.01,3.11
2005,BEN,14.02,1.36,3.72
2010,BEN,17.77,2.01,4.43
1950,BWA,0.55,0.09,1.38
1955,BWA,0.56,0.09,1.42
1960,BWA,0.57,0.09,1.46
1965,BWA,0.56,0.06,1.71
1970,BWA,1.17,0.28,2.14
1975,BWA,1.64,0.25,2.74
1980,BWA,2.3,0.19,3.12
1985,BWA,9.68,1.09,5.29
1990,BWA,23.03,1.52,6.86
1995,BWA,25.93,1.9,8.24
2000,BWA,28.52,1.73,8.82
2005,BWA,29.32,1.79,9.22
2010,BWA,29.03,2.02,9.55
1950,BDI,0.18,0.02,0.42
1955,BDI,0.23,0.03,0.52
1960,BDI,0.31,0.05,0.67
1965,BDI,0.39,0.07,0.81
1970,BDI,0.59,0.11,1.06
1975,BDI,0.81,0.14,1.28
1980,BDI,1,0.19,1.45
1985,BDI,1.22,0.25,1.54
1990,BDI,1.59,0.24,1.74
1995,BDI,2.19,0.24,2.18
2000,BDI,2.68,0.24,2.56
2005,BDI,3.52,0.34,2.88
2010,BDI,4.97,0.54,3.35
1950,CMR,0.73,0.04,0.69
1955,CMR,0.93,0.06,0.87
1960,CMR,1.15,0.08,1.08
1965,CMR,1.71,0.11,1.43
1970,CMR,2.25,0.13,1.81
1975,CMR,3.46,0.15,2.42
1980,CMR,5.05,0.18,3.04
1985,CMR,6.77,0.28,3.7
1990,CMR,8.71,0.45,4.37
1995,CMR,10.6,0.64,5
2000,CMR,12.17,0.8,5.46
2005,CMR,13.46,1.15,5.77
2010,CMR,15.28,1.64,6.15
1950,CAF,0.39,0.05,0.39
1955,CAF,0.44,0.06,0.44
1960,CAF,0.52,0.06,0.5
1965,CAF,0.73,0.08,0.6
1970,CAF,1.04,0.09,0.82
1975,CAF,1.59,0.09,1.15
1980,CAF,2.79,0.36,1.66
1985,CAF,3.72,0.68,2.06
1990,CAF,5.48,0.87,2.67
1995,CAF,6.46,0.81,2.99
2000,CAF,7.43,0.83,3.29
2005,CAF,8.39,0.82,3.55
2010,CAF,9.54,0.83,3.76
1950,COG,0.85,0.05,0.79
1955,COG,0.93,0.08,0.97
1960,COG,1.02,0.12,1.14
1965,COG,1.57,0.25,1.57
1970,COG,2.17,0.38,2.09
1975,COG,4.66,0.78,3.28
1980,COG,6.71,1.09,4.17
1985,COG,8.33,1.09,4.97
1990,COG,8.42,1.1,5.37
1995,COG,8.82,1.14,5.62
2000,COG,7.9,0.96,5.67
2005,COG,7.17,0.79,5.77
2010,COG,6.64,0.64,5.94
1950,EGY,0.73,0.58,0.52
1955,EGY,0.87,0.78,0.67
1960,EGY,1.02,0.96,0.81
1965,EGY,1.35,1.18,1.04
1970,EGY,1.76,1.36,1.31
1975,EGY,3.16,1.3,1.69
1980,EGY,6.15,1.86,2.65
1985,EGY,10.62,1.99,3.76
1990,EGY,14.48,1.87,4.41
1995,EGY,18.07,2.18,5.12
2000,EGY,20.42,4.19,6.03
2005,EGY,23.95,5.29,6.66
2010,EGY,26.38,6.65,7.15
1950,GAB,0.37,0.12,0.47
1955,GAB,1.19,0.43,0.82
1960,GAB,1.41,0.48,1.01
1965,GAB,2.02,0.69,1.42
1970,GAB,2.47,0.9,1.82
1975,GAB,4.12,1.66,2.6
1980,GAB,5.63,2.39,3.31
1985,GAB,8.1,3.5,4.3
1990,GAB,10.65,4.1,5.25
1995,GAB,13.47,5.06,6.25
2000,GAB,15.98,5.54,7.02
2005,GAB,19.47,5.73,7.71
2010,GAB,23.18,6.3,8.39
1950,GMB,0.55,0.07,0.4
1955,GMB,0.68,0.09,0.43
1960,GMB,0.8,0.1,0.47
1965,GMB,0.96,0.1,0.52
1970,GMB,1.09,0.1,0.57
1975,GMB,1.33,0.09,0.73
1980,GMB,1.64,0.27,0.97
1985,GMB,2.01,0.5,1.27
1990,GMB,2.33,0.77,1.75
1995,GMB,3.32,1.01,2.45
2000,GMB,3.49,1.02,2.64
2005,GMB,4.12,0.94,3.25
2010,GMB,4.63,0.91,3.77
1950,GHA,0.23,0.32,0.68
1955,GHA,0.36,0.34,0.8
1960,GHA,0.34,0.34,1.05
1965,GHA,2.56,0.26,1.95
1970,GHA,5.24,0.17,3.06
1975,GHA,6.67,0.38,3.86
1980,GHA,8.12,0.57,4.53
1985,GHA,9.76,0.88,5.2
1990,GHA,11.13,1.14,5.65
1995,GHA,12.68,1.39,5.89
2000,GHA,15.12,1.84,6.44
2005,GHA,17.24,1.65,7.01
2010,GHA,18.5,1.44,7
1950,CIV,0.91,0.23,0.84
1955,CIV,0.96,0.29,0.88
1960,CIV,1.07,0.37,0.96
1965,CIV,1.22,0.46,1.06
1970,CIV,1.61,0.55,1.29
1975,CIV,2.62,0.71,1.71
1980,CIV,3.14,0.83,2.06
1985,CIV,3.57,0.98,2.37
1990,CIV,4.19,0.85,2.69
1995,CIV,4.29,1.63,3.3
2000,CIV,4.92,2.08,3.87
2005,CIV,6.21,2.11,4.26
2010,CIV,8.09,2.13,4.65
1950,KEN,0.22,0.16,1.16
1955,KEN,0.22,0.17,1.31
1960,KEN,0.21,0.17,1.51
1965,KEN,0.24,0.21,1.69
1970,KEN,0.3,0.21,2.17
1975,KEN,0.7,0.42,2.66
1980,KEN,0.96,0.65,3.41
1985,KEN,1.15,0.95,4.13
1990,KEN,1.98,1.29,4.78
1995,KEN,3.23,1.74,5.26
2000,KEN,5.52,2.26,5.69
2005,KEN,9.52,2.84,6.25
2010,KEN,13.3,3.4,6.14
1950,LSO,0.56,0.04,2.47
1955,LSO,0.72,0.04,2.73
1960,LSO,0.87,0.04,2.96
1965,LSO,1.07,0.03,3.24
1970,LSO,3.01,0.05,3.55
1975,LSO,5.97,0.05,3.91
1980,LSO,8.42,0.19,4.3
1985,LSO,11.46,0.29,4.64
1990,LSO,14.87,0.39,5.12
1995,LSO,19.52,0.54,5.66
2000,LSO,24.5,0.62,6.21
2005,LSO,33,0.64,6.93
2010,LSO,13.18,0.76,5.85
1950,LBR,0.74,0.56,0.57
1955,LBR,0.77,0.5,0.62
1960,LBR,0.91,0.6,0.73
1965,LBR,1.87,0.59,0.93
1970,LBR,2.99,0.66,1.15
1975,LBR,4.92,0.87,1.66
1980,LBR,6.13,0.93,2.2
1985,LBR,6.79,1.14,2.69
1990,LBR,6.86,1.44,3.02
1995,LBR,6.89,1.69,3.08
2000,LBR,7.88,2.35,3.49
2005,LBR,9.71,2.41,3.85
2010,LBR,12.49,1.9,4.2
1950,MWI,0.11,0.03,0.96
1955,MWI,0.16,0.03,1.03
1960,MWI,0.21,0.03,1.09
1965,MWI,0.2,0,1.21
1970,MWI,0.65,0.1,1.57
1975,MWI,1.18,0.15,1.86
1980,MWI,1.49,0.16,2.34
1985,MWI,0.03,0.25,2.65
1990,MWI,1.94,0.23,2.9
1995,MWI,2.61,0.25,3.06
2000,MWI,4.74,0.21,3.48
2005,MWI,6.86,0.18,4.41
2010,MWI,7.92,0.15,4.81
1950,MLI,0.05,0.03,0.15
1955,MLI,0.07,0.04,0.17
1960,MLI,0.09,0.05,0.2
1965,MLI,0.14,0.08,0.24
1970,MLI,0.18,0.1,0.29
