LOCATION,obsTime,obsValue
AUT,1990,8.7275
AUT,1991,8.546667
AUT,1992,8.139167
AUT,1993,6.705
AUT,1994,7.025
AUT,1995,7.134167
AUT,1996,6.3225
AUT,1997,5.6825
AUT,1998,4.713333
AUT,1999,4.679167
AUT,2000,5.556667
AUT,2001,5.079167
AUT,2002,4.964167
AUT,2003,4.140833
AUT,2004,4.130833
AUT,2005,3.394167
AUT,2006,3.8
AUT,2007,4.2975
AUT,2008,4.358333
AUT,2009,3.936667
AUT,2010,3.225833
AUT,2011,3.319167
AUT,2012,2.3725
AUT,2013,2.01
AUT,2014,1.4875
AUT,2015,0.7463517
AUT,2016,0.3753925
AUT,2017,0.583265
AUT,2018,0.6861517
BEL,1962,5.1775
BEL,1963,5.2825
BEL,1964,6.451667
BEL,1965,6.438334
BEL,1966,6.651667
BEL,1967,6.684166
BEL,1968,6.545
BEL,1969,7.293334
BEL,1970,7.804167
BEL,1971,7.321667
BEL,1972,7.044167
BEL,1973,7.494167
BEL,1974,8.768333
BEL,1975,8.515833
BEL,1976,9.088333
BEL,1977,8.7625
BEL,1978,8.9275
BEL,1979,9.693334
BEL,1980,11.9
BEL,1981,13.43667
BEL,1982,13.42833
BEL,1983,11.94083
BEL,1984,12.2425
BEL,1985,10.96833
BEL,1986,8.625834
BEL,1987,8.184167
BEL,1988,8.0075
BEL,1989,8.539166
BEL,1990,10.00667
BEL,1991,9.285833
BEL,1992,8.653334
BEL,1993,7.228333
BEL,1994,7.750834
BEL,1995,7.480834
BEL,1996,6.4925
BEL,1997,5.753334
BEL,1998,4.751667
BEL,1999,4.749166
BEL,2000,5.5925
BEL,2001,5.130833
BEL,2002,4.986667
BEL,2003,4.180833
BEL,2004,4.1525
BEL,2005,3.428333
BEL,2006,3.815
BEL,2007,4.328333
BEL,2008,4.4175
BEL,2009,3.901667
BEL,2010,3.4625
BEL,2011,4.233333
BEL,2012,3
BEL,2013,2.41
BEL,2014,1.713333
BEL,2015,0.84
BEL,2016,0.4758333
BEL,2017,0.7225
BEL,2018,0.795
CZE,2001,6.314167
CZE,2002,4.876667
CZE,2003,4.115833
CZE,2004,4.820833
CZE,2005,3.5425
CZE,2006,3.8
CZE,2007,4.3025
CZE,2008,4.633333
CZE,2009,4.8375
CZE,2010,3.884167
CZE,2011,3.7075
CZE,2012,2.781667
CZE,2013,2.111667
CZE,2014,1.575833
CZE,2015,0.575
CZE,2016,0.4275
CZE,2017,0.9808334
CZE,2018,1.981667
DNK,1987,11.28435
DNK,1988,9.883703
DNK,1989,9.706354
DNK,1990,10.62874
DNK,1991,9.262481
DNK,1992,8.987465
DNK,1993,7.302794
DNK,1994,7.825434
DNK,1995,8.270138
DNK,1996,7.19293
DNK,1997,6.261175
DNK,1998,5.039933
DNK,1999,4.9172
DNK,2000,5.660133
DNK,2001,5.09365
DNK,2002,5.055967
DNK,2003,4.307742
DNK,2004,4.304708
DNK,2005,3.403625
DNK,2006,3.812175
DNK,2007,4.286608
DNK,2008,4.281425
DNK,2009,3.586242
DNK,2010,2.926058
DNK,2011,2.72935
DNK,2012,1.403058
DNK,2013,1.745833
DNK,2014,1.326667
DNK,2015,0.6908333
DNK,2016,0.3208333
DNK,2017,0.4766667
DNK,2018,0.4558333
FIN,1988,10.5575
FIN,1989,12.08583
FIN,1990,13.21
FIN,1991,11.71167
FIN,1992,11.9725
FIN,1993,8.825
FIN,1994,9.036667
FIN,1995,8.791667
FIN,1996,7.076667
FIN,1997,5.9575
FIN,1998,4.7875
FIN,1999,4.7225
FIN,2000,5.4825
FIN,2001,5.043334
FIN,2002,4.980834
FIN,2003,4.135
FIN,2004,4.109167
FIN,2005,3.350833
FIN,2006,3.7825
FIN,2007,4.293334
FIN,2008,4.29
FIN,2009,3.738333
FIN,2010,3.010833
FIN,2011,3.005833
FIN,2012,1.883333
FIN,2013,1.860833
FIN,2014,1.448333
FIN,2015,0.7233334
FIN,2016,0.365
FIN,2017,0.5466667
FIN,2018,0.6616667
FRA,1962,5.434166
FRA,1963,5.338333
FRA,1964,5.449167
FRA,1965,6.2025
FRA,1966,6.579167
FRA,1967,6.706666
FRA,1968,6.950833
FRA,1969,8.1775
FRA,1970,8.550834
FRA,1971,8.421667
FRA,1972,8.013333
FRA,1973,8.998333
FRA,1974,11.0025
FRA,1975,10.31167
FRA,1976,10.51
FRA,1977,10.99167
FRA,1978,10.61167
FRA,1979,10.8475
FRA,1980,13.78417
FRA,1981,16.29167
FRA,1982,15.9975
FRA,1983,14.36833
FRA,1984,13.40417
FRA,1985,11.86667
FRA,1986,9.119166
FRA,1987,9.478625
FRA,1988,9.084046
FRA,1989,8.796062
FRA,1990,9.932111
FRA,1991,9.038341
FRA,1992,8.587873
FRA,1993,6.774994
FRA,1994,7.213776
FRA,1995,7.534972
FRA,1996,6.312129
FRA,1997,5.58251
FRA,1998,4.640211
FRA,1999,4.608787
FRA,2000,5.39447
FRA,2001,4.93946
FRA,2002,4.861222
FRA,2003,4.130888
FRA,2004,4.099166
FRA,2005,3.409432
FRA,2006,3.795732
FRA,2007,4.3032
FRA,2008,4.234313
FRA,2009,3.648808
FRA,2010,3.117007
FRA,2011,3.321058
FRA,2012,2.535994
FRA,2013,2.20434
FRA,2014,1.666439
FRA,2015,0.8418727
FRA,2016,0.4678807
FRA,2017,0.8105078
FRA,2018,0.7841667
DEU,1962,5.908333
DEU,1963,6.05
DEU,1964,6.233333
DEU,1965,7.05
DEU,1966,8.125
DEU,1967,6.958333
DEU,1968,6.45
DEU,1969,6.841667
DEU,1970,8.316667
DEU,1971,7.991667
DEU,1972,7.875
DEU,1973,9.308333
DEU,1974,10.44167
DEU,1975,8.675
DEU,1976,8.033334
DEU,1977,6.533333
DEU,1978,6.133333
DEU,1979,7.566667
DEU,1980,8.425
DEU,1981,10.13333
DEU,1982,8.908334
DEU,1983,8.083333
DEU,1984,7.958333
DEU,1985,7.041667
DEU,1986,6.158333
DEU,1987,6.25
DEU,1988,6.491667
DEU,1989,7.025
DEU,1990,8.704166
DEU,1991,8.458333
DEU,1992,7.8475
DEU,1993,6.510833
DEU,1994,6.866667
DEU,1995,6.85
DEU,1996,6.215833
DEU,1997,5.640833
DEU,1998,4.571667
DEU,1999,4.490833
DEU,2000,5.263333
DEU,2001,4.7975
DEU,2002,4.7825
DEU,2003,4.070833
DEU,2004,4.036667
DEU,2005,3.353333
DEU,2006,3.7625
DEU,2007,4.216667
DEU,2008,3.984167
DEU,2009,3.2225
DEU,2010,2.743333
DEU,2011,2.608333
DEU,2012,1.495
DEU,2013,1.57
DEU,2014,1.163333
DEU,2015,0.4958333
DEU,2016,0.09
DEU,2017,0.3175
DEU,2018,0.3966667
GRC,1998,8.481667
GRC,1999,6.308333
GRC,2000,6.108333
GRC,2001,5.304167
GRC,2002,5.1225
GRC,2003,4.2675
GRC,2004,4.255833
GRC,2005,3.585
GRC,2006,4.07
GRC,2007,4.5
GRC,2008,4.8025
GRC,2009,5.174167
GRC,2010,9.091666
GRC,2011,15.74917
GRC,2012,22.4975
GRC,2013,10.05417
GRC,2014,6.929167
GRC,2015,9.666364
GRC,2016,8.36
GRC,2017,5.978333
GRC,2018,4.185
HUN,2000,8.55
HUN,2001,7.945
HUN,2002,7.085834
HUN,2003,6.773334
HUN,2004,8.291667
HUN,2005,6.598333
HUN,2006,7.115833
