COUNTRY,obsTime,obsValue
AUT,1990,40180.7455989152
AUT,1991,41436.7389989039
AUT,1992,42271.537919918
AUT,1993,42616.1899322922
AUT,1994,43045.5605092534
AUT,1995,43392.341548938
AUT,1996,43075.9821186398
AUT,1997,42715.1441072402
AUT,1998,44092.6764090192
AUT,1999,45060.0288196076
AUT,2000,45188.0031051172
AUT,2001,45068.9903074612
AUT,2002,45732.5834869296
AUT,2003,45854.5244699377
AUT,2004,46723.2221747289
AUT,2005,46963.2346598264
AUT,2006,47654.1500606673
AUT,2007,47895.2314113613
AUT,2008,48739.8569797832
AUT,2009,49520.7788557193
AUT,2010,49315.9163089574
AUT,2011,48809.4621652132
AUT,2012,49046.7076455864
AUT,2013,49119.5245501376
AUT,2014,49298.5666866514
AUT,2015,49694.5120670289
AUT,2016,50330.4552242943
AUT,2017,50348.9401981944
BEL,1990,41140.9385689379
BEL,1991,42776.7052461695
BEL,1992,43919.4479734754
BEL,1993,44547.8807641453
BEL,1994,45188.764767722
BEL,1995,44785.9839510677
BEL,1996,45265.4249212295
BEL,1997,45899.6301823603
BEL,1998,45822.2639439387
BEL,1999,48270.3617036288
BEL,2000,47950.3239317737
BEL,2001,48221.8165468763
BEL,2002,49036.1355698971
BEL,2003,49230.7676728333
BEL,2004,48990.3182500842
BEL,2005,48688.0973575937
BEL,2006,48889.5317517214
BEL,2007,48658.5261971899
BEL,2008,48808.8687239112
BEL,2009,49226.9341746211
BEL,2010,48940.5782900736
BEL,2011,49382.3864044152
BEL,2012,49714.5513424921
BEL,2013,50362.6586290707
BEL,2014,50583.0421345091
BEL,2015,50259.1820690747
BEL,2016,50041.0771459814
BEL,2017,49674.9950476864
CZE,1995,13284.5279371902
CZE,1996,14620.3875792486
CZE,1997,14829.7606130016
CZE,1998,14755.9218845927
CZE,1999,15306.1230062657
CZE,2000,15805.0235357265
CZE,2001,16314.5151828103
CZE,2002,17563.4853204811
CZE,2003,18890.7175094083
CZE,2004,19819.2143075766
CZE,2005,20414.8794329373
CZE,2006,21230.3535536868
CZE,2007,21870.2457073523
CZE,2008,21880.2366627302
CZE,2009,21830.879734271
CZE,2010,22388.227589263
CZE,2011,22540.9787691982
CZE,2012,22528.4127932473
CZE,2013,22290.4946988665
CZE,2014,22757.3383887199
CZE,2015,23380.7429536061
CZE,2016,24330.753582818
CZE,2017,25372.0429634876
DNK,1990,37895.1020365459
DNK,1991,38071.6597661382
DNK,1992,39389.5852637245
DNK,1993,39816.8150123739
DNK,1994,38392.6283277383
DNK,1995,39195.2194198897
DNK,1996,39908.725758958
DNK,1997,40552.8437128869
DNK,1998,41267.5610253364
DNK,1999,41738.5423622963
DNK,2000,41712.7501129584
DNK,2001,41990.7089494861
DNK,2002,42958.6425469163
DNK,2003,44029.5816554954
DNK,2004,45012.4726375223
DNK,2005,45782.5404513345
DNK,2006,46555.5376745999
DNK,2007,47069.7082639716
DNK,2008,47703.4873536246
DNK,2009,48860.5944895636
DNK,2010,49423.6874985322
DNK,2011,49168.0357552126
DNK,2012,49094.2461278247
DNK,2013,49423.8023635253
DNK,2014,50368.6564234037
DNK,2015,51125.5502110602
DNK,2016,51826.0530970321
DNK,2017,51466.3004625045
FIN,1990,32373.175996592
FIN,1991,32705.5599571359
FIN,1992,32224.32675046
FIN,1993,31087.5839755533
FIN,1994,31540.0063999962
FIN,1995,32827.2505584196
FIN,1996,33712.5188157829
FIN,1997,33622.5976677946
FIN,1998,34721.585032011
FIN,1999,35588.45314141
FIN,2000,36308.0307142184
FIN,2001,36708.644816608
FIN,2002,36916.7970189809
FIN,2003,37627.8268560594
FIN,2004,38886.0353041778
FIN,2005,39781.8727505149
FIN,2006,40707.235285964
FIN,2007,41327.4698251827
FIN,2008,41727.8358134046
FIN,2009,42064.5303807016
FIN,2010,42725.4594772306
FIN,2011,42872.4433299362
FIN,2012,42902.0972120131
FIN,2013,42440.9475030898
FIN,2014,42425.0748590545
FIN,2015,42885.1913489131
FIN,2016,43138.9339313619
FIN,2017,42963.6679912954
FRA,1990,32665.7498202219
FRA,1991,33033.3502549824
FRA,1992,33388.1217566436
FRA,1993,33760.3233162221
FRA,1994,33889.1264851826
FRA,1995,34384.9477918663
FRA,1996,34480.1697395395
FRA,1997,34866.4354313916
FRA,1998,35391.7296717433
FRA,1999,36151.7973045916
FRA,2000,36340.7537874851
FRA,2001,36592.8930549598
FRA,2002,37583.0472348423
FRA,2003,37898.764722818
FRA,2004,38520.4802264545
FRA,2005,38983.4202963751
FRA,2006,39413.3653926398
FRA,2007,39578.0465849044
FRA,2008,39512.6354566787
FRA,2009,40732.42218869
FRA,2010,41547.5688687028
FRA,2011,41472.2662261191
FRA,2012,41759.2704649782
FRA,2013,41986.2679059577
FRA,2014,42402.9926200803
FRA,2015,42731.3134045579
FRA,2016,43220.6120851797
FRA,2017,43755.3289332253
DEU,1991,36879.3734183665
DEU,1992,39145.4283847391
DEU,1993,39504.3002589577
DEU,1994,39613.1709350697
DEU,1995,40502.4683472184
DEU,1996,40856.7220689474
DEU,1997,40632.0387377175
DEU,1998,41024.9054348613
DEU,1999,41672.8653523356
DEU,2000,41873.1356332864
DEU,2001,42291.1136605427
DEU,2002,42512.5541840991
DEU,2003,42456.956114176
DEU,2004,42454.4761290712
DEU,2005,42380.2125039828
DEU,2006,42414.8768405383
DEU,2007,42342.4629738926
DEU,2008,42610.3334343469
DEU,2009,42778.8008126555
DEU,2010,42970.23116168
DEU,2011,43702.902744104
DEU,2012,44202.3176699673
DEU,2013,44735.6172185794
DEU,2014,45421.1651352145
DEU,2015,46408.6095650197
DEU,2016,47096.5532041581
DEU,2017,47585.308781889
GRC,1995,23081.491210979
GRC,1996,23135.8232254624
GRC,1997,25413.1613195368
GRC,1998,25740.5136185524
GRC,1999,26527.2934102395
GRC,2000,27133.4060137818
GRC,2001,27682.0074358712
GRC,2002,30249.2318964402
GRC,2003,31565.253907418
GRC,2004,32132.3600845157
GRC,2005,32033.892641203
GRC,2006,32418.2684658021
GRC,2007,32411.0957818892
GRC,2008,31921.5455927327
GRC,2009,33422.5734063101
GRC,2010,31194.1293922601
GRC,2011,29148.9510870061
GRC,2012,27825.8144013693
GRC,2013,26025.5584626361
GRC,2014,26532.2522735054
GRC,2015,26335.9459089031
GRC,2016,26330.3677055652
GRC,2017,26064.2938448664
HUN,1995,14807.6482038085
HUN,1996,14820.0602447984
HUN,1997,15265.2255947095
HUN,1998,15425.5209603323
HUN,1999,15328.1022141179
HUN,2000,15874.3890994121
HUN,2001,17022.332500526
HUN,2002,17867.3872611195
HUN,2003,19537.2386609
HUN,2004,20727.4879087457
HUN,2005,21562.432036827
HUN,2006,21980.2214273346
HUN,2007,21652.0279977833
HUN,2008,21896.4589380472
HUN,2009,21072.891500391
HUN,2010,21322.7284579025
HUN,2011,21309.351556377
HUN,2012,20567.6492204489
HUN,2013,20613.2086921179
HUN,2014,20469.5760851907
HUN,2015,19928.8386696738
HUN,2016,20824.5134677243
HUN,2017,22575.9975023553
IRL,1990,27191.3341562744
IRL,1991,28314.853781085
IRL,1992,29523.4791193575
IRL,1993,30998.187815664
IRL,1994,31231.9007050339
IRL,1995,31941.8085650722
IRL,1996,32177.3789672861
IRL,1997,33941.997544104
IRL,1998,36201.7066462819
IRL,1999,37030.9951303714
IRL,2000,37986.0927669557
IRL,2001,39346.9484617257
IRL,2002,39705.1484282794
IRL,2003,41043.2510682301
IRL,2004,42572.2120349557
IRL,2005,44556.8258661317
IRL,2006,45340.4584487598
IRL,2007,46733.8117221902
IRL,2008,48170.5394590174
IRL,2009,52074.6972684978
IRL,2010,51859.8365671312
IRL,2011,47806.144004905
IRL,2012,46905.2563476864
IRL,2013,45734.9477767994
IRL,2014,45827.7304440118
IRL,2015,46560.6626300175
IRL,2016,46932.0986739545
IRL,2017,47652.9265017035
ITA,1990,35716.0200494302
ITA,1991,36044.0077611202
ITA,1992,36211.5280775659
ITA,1993,35649.6662399276
ITA,1994,35185.5454285129
ITA,1995,34546.7581103101
ITA,1996,34832.1018168751
ITA,1997,35660.5832880076
ITA,1998,35824.5563903837
ITA,1999,36161.4466965477
ITA,2000,36134.2400862034
ITA,2001,36313.2708378665
ITA,2002,36066.7066965488
ITA,2003,36029.1190583206
ITA,2004,36765.0691576164
ITA,2005,37181.378615398
ITA,2006,37437.9017186814
ITA,2007,37401.1548737476
ITA,2008,37441.8922220358
ITA,2009,37626.935996649
ITA,2010,37987.2444249516
ITA,2011,37394.3300794491
ITA,2012,36267.4729791703
ITA,2013,36323.7204404409
ITA,2014,36460.5778281836
ITA,2015,36769.6675766841
ITA,2016,37032.9728706123
ITA,2017,36658.3960819554
LUX,1990,44557.6096597117
LUX,1991,45964.9499869409
LUX,1992,46874.7041181788
LUX,1993,48050.8231074469
LUX,1994,48778.3302540287
LUX,1995,48587.4510011729
LUX,1996,49447.2025734335
LUX,1997,49961.5382412364
LUX,1998,50491.1718700921
LUX,1999,51642.9636801139
LUX,2000,53337.1470853372
LUX,2001,53878.3726316782
LUX,2002,54940.6893212123
LUX,2003,54590.8992023461
LUX,2004,55827.1125294411
LUX,2005,55564.2548573321
LUX,2006,56294.0336903974
LUX,2007,57770.9499289512
LUX,2008,57659.5771882232
LUX,2009,59255.4192305699
LUX,2010,59860.1299842472
LUX,2011,58816.5292313778
LUX,2012,58486.3537878323
LUX,2013,58813.1948445968
LUX,2014,59928.2629419462
LUX,2015,61975.0971464396
LUX,2016,62090.9002076502
LUX,2017,63062.2057815491
NLD,1990,46463.9281326019
NLD,1991,46813.501874667
NLD,1992,47054.0844946302
NLD,1993,47859.2235720814
NLD,1994,48202.3653296377
NLD,1995,47258.7717160036
NLD,1996,46966.5363818784
NLD,1997,47057.0972851992
NLD,1998,45528.6349906069
NLD,1999,46515.7917849736
NLD,2000,47595.6865117716
NLD,2001,48232.2595864321
NLD,2002,48535.1483875223
NLD,2003,49059.9083047192
NLD,2004,49775.5356260198
NLD,2005,49939.2727342628
NLD,2006,49898.8072663781
NLD,2007,50457.3861687148
NLD,2008,50757.3203349229
NLD,2009,52734.3788724019
NLD,2010,53022.9980981485
NLD,2011,52667.6166743346
NLD,2012,52781.2218865497
NLD,2013,52807.5245027614
NLD,2014,52601.862745467
NLD,2015,53170.9604153299
NLD,2016,53294.8852909138
NLD,2017,52876.5052161169
POL,1995,15807.2487138475
POL,1996,17049.6936579906
POL,1997,17933.6334352164
