iso2c,country,year,sl.ind.empl.zs,SL.AGR.EMPL.ZS,SL.SRV.EMPL.ZS,SL.EMP.SELF.ZS,SL.UEM.NEET.ZS,NV.IND.TOTL.ZS,NV.IND.MANF.ZS,BN.CAB.XOKA.GD.ZS,SP.POP.TOTL,ny.gdp.totl.rt.zs,NY.GDP.MKTP.KN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KN,NY.GDP.PCAP.KD.ZG,NY.GDP.MKTP.KD,NY.GDP.PCAP.KD,NY.GDP.MKTP.CN,NY.GDP.PCAP.CN,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GDP.MKTP.PP.KD,NY.GDP.PCAP.PP.KD,NY.GDP.MKTP.PP.CD,NY.GDP.PCAP.PP.CD
AT,Austria,1962,,,,,,,,,7129864,,75119245431.83,2.64867511295262,10535.8595103399,2.02146966677641,99489765786.6089,13953.9500033393,14655121408,2055.45595371805,7756110210.11966,1087.8342434189,,,,
AT,Austria,1963,,,,,,,,,7175811,,78227880813.0557,4.13826758157036,10901.6083078353,3.47146615932409,103606918511.136,14438.3566555943,15822951424,2205.04015838767,8374175257.73075,1167.00053244585,,,,
AT,Austria,1964,,,,,,,,,7223801,,83018832955.4975,6.12435373762833,11492.4030929835,5.41933601415161,109952172697.415,15220.8197176825,17326626816,2398.54708289999,9169983885.71185,1269.41258289256,,,,
AT,Austria,1965,,,,,,,,,7270889,,85908033557.2274,3.48017491799561,11815.3410892708,2.81001278561557,113778700633.421,15648.5266978249,18883733504,2597.16982393762,9994070615.85997,1374.53213986075,,,,
AT,Austria,1966,,,,,,,,,7322066,,90755704831.7193,5.64286141093268,12394.8220122189,4.90447900377775,120199075025.325,16416.0054041203,20572207104,2809.61781879595,10887682273.1014,1486.96860600566,,,,
AT,Austria,1967,,,,,,,,,7376998,,93485679812.2468,3.00804779775493,12672.5911830594,2.24100975848391,123814720654.546,16783.8896871799,21879263232,2965.8762591504,11579431668.9165,1569.66718289967,,,,
AT,Austria,1968,,,,,,,,,7415403,,97666651820.2602,4.47231278246069,13170.7813884505,3.93124182887794,129352102232.948,17443.704979075,23506483200,3169.95356826864,12440625312.8685,1677.67352804272,,,,
AT,Austria,1969,,,,,,,,,7441055,,103796081154.048,6.2758671660702,13949.1081780807,5.90949592643494,137470068345.607,18474.5400142328,25664612352,3449.05559117625,13582798556.2404,1825.38612552124,,,,
AT,Austria,1970,,,,,,,,,7467086,0.376748306225297,110357179400,6.32114254507779,14779.1493763431,5.95049653114532,146159747322.549,19573.8668769248,29047294400,3890.04417519766,15373005768.7219,2058.76907922607,,,,
AT,Austria,1971,,,,,,,,,7500482,0.340224293538453,116001914600,5.11496871403365,15465.928003027,4.64694285980538,153635772670.608,20483.4532861498,32427438800,4323.38065740308,17858485956.6031,2380.97844333246,,,,
AT,Austria,1972,,,,,,,,,7544201,0.329919228489339,123203152200,6.20786098645996,16330.841688868,5.59238143143921,163173267863.473,21628.966124242,37057942900,4912.10969856185,22059612417.4058,2924.04887110057,,,,
AT,Austria,1973,,,,,,,,,7586115,0.408568236552023,129228322800,4.89043542507672,17034.8489048742,4.31090588849487,171153151159.323,22561.3704985125,41997559400,5536.10898332018,29515467987.912,3890.72245647634,,,,
AT,Austria,1974,,,,,,,,,7599038,0.631573009553033,134322681800,3.94213813939555,17676.2745231699,3.76537310003459,177900244807.952,23410.8902742626,47801145100,6290.42059007996,35189299985.2768,4630.7572070671,,,,
AT,Austria,1975,,,,,,,,,7578903,0.588911468710195,133834102200,-0.363735739528693,17658.7696398806,-0.0990303882549597,177253158036.877,23387.7063787301,50702938000,6690.01015054553,40059206763.056,5285.62072414121,,,,
