iso3c,year,fdi_net_inflow_GDP,fdi_net_outflow_GDP,tax_rev_total_GDP,tax_rev_trade_TAX,tax_rev_inc_profits_TAX,trade_total_GDP,trade_exp_GDP,trade_imp_GDP,RD_expend_GDP,RD_scientists,wgi_accountability,wgi_regul_quality,wgi_rule_of_law,wgi_pol_stability,wgi_gov_effectvn,wgi_control_corrupt,empl_ind,empl_agr,empl_serv,empl_self,unemp_youth_neet,VA_industry_gdp,VA_manufct_gdp,current_account_GDP_WB,population,res_rents,gdp_real_lcu,gdp_real_lcu_growth,gdp_real_pc_lcu,gdp_real_pc_lcu_growth,gdp_real_usd,gdp_real_pc_usd,gdp_nom_lcu,gdp_nom_pc_lcu,gdp_nom_usd,gdp_nom_pc_usd,gdp_real_ppp,gdp_real_pc_ppp,gdp_nom_ppp,gdp_nom_pc_ppp,gini_post_tax,gini_pre_tax,cap_form,cpi,current_account_GDP_ameco,nulc_eur,nulc_lcu,rulc,unemp_rate,wage_share,interest_long_term,debt_corp_nf_percGDP,debt_corp_f_percGDP,debt_gen_gov_percGDP,debt_hh_npish_percGDI,total_debt_percGDP,average_wages,debt_gen_gvt_gross,eci_mit,eci_mit_plus,eci_harv_hs,eci_harc_coi_hs,eci_harv_sitc,eci_harc_coi_sitc
AFG,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30.8,,,,,,,,,,,,,,,,,,,,,,
AFG,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30.9,,,,,,,,,,,,,,,,,,,,,,
AFG,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,30.9,,,,,,,,,,,,,,,,,,,,,,
AFG,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,30.9,,,,,,,,,,,,,,,,,,,,,,
AFG,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,31,,,,,,,,,,,,,,,,,,,,,,
AFG,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4,31.1,,,,,,,,,,,,,,,,,,,,,,
AGO,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1,49.9,,,,,,,,,,,,,,,,,,,,,,
AGO,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,49.8,,,,,,,,,,,,,,,,,,,,,,
AGO,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8,49.7,,,,,,,,,,,,,,,,,,,,,,
AGO,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7,49.6,,,,,,,,,,,,,,,,,,,,,,
AGO,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6,49.6,,,,,,,,,,,,,,,,,,,,,,
AGO,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.4,49.5,,,,,,,,,,,,,,,,,,,,,,
AGO,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,49.1,,,,,,,,,,,,,,,,,,,,,,
AGO,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6,48.7,,,,,,,,,,,,,,,,,,,,,,
AGO,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2,48.4,,,,,,,,,,,,,,,,,,,,,,
AGO,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2,48.4,,,,,,,,,,,,,,,,,,,,,,
AIA,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,35.3,,,,,,,,,,,,,,,,,,,,,,
AIA,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2,35.4,,,,,,,,,,,,,,,,,,,,,,
AIA,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4,35.5,,,,,,,,,,,,,,,,,,,,,,
AIA,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,35.7,,,,,,,,,,,,,,,,,,,,,,
AIA,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6,35.7,,,,,,,,,,,,,,,,,,,,,,
AIA,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7,35.8,,,,,,,,,,,,,,,,,,,,,,
AIA,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8,35.9,,,,,,,,,,,,,,,,,,,,,,
AIA,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9,36,,,,,,,,,,,,,,,,,,,,,,
ALB,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7,43.5,0.549172,,-7.8939969,,,,,,,,,,,,,,,,,,,
ALB,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8,43.6,0.394606,,-13.0469905,,,,,,,,,,,,,,,,,,,
ALB,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9,43.7,0.489701,,-6.9439926,,,,,,,,,,,,,,,,,,,
ALB,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,43.8,0.711671,,-1.9460016,,,,,,,,,,,,,,,,,,,
ALB,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,43.9,1.206202,,-7.0700001,,,,,,,,,,,,,,,,,,,
ALB,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.2,44,1.603809,,-6.3150021,,,,,,,,,,,,,,,,,,,
ALB,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3,44.1,1.663008,,-10.1739955,,,,,,,,,,,,,,,,,,,
ALB,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4,44.1,1.769126,,-7.6950054,,,,,,,,,,,,,,,,,,,
ALB,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,44.1,2.183726,,-5.8490036,,,,,,,,,,,,,,,,,,,
ALB,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,44.1,2.455469,,-9.1139976,,,,,,,,,,,,,,,,,,,
ALB,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,44,2.699446,,-6.1109993,,,,,,,,,,,,,,,,,,,
ALB,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4,44,2.841707,,-10.6610027,,,,,,,,,,,,,,,,,,,
ALB,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,44,2.987566,,-15.6950815,,,,,,,,,,,,,,,,,,,
ALB,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4,44,2.833364,,-15.3515807,,,,,,,,,,,,,,,,,,,
ALB,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4,44,2.557677,,-11.3213685,,,,,,,,,,,,,,,,,,,
ALB,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4,43.9,2.721755,,-12.9170174,,,,,,,,,,,,,,,,,,,
ALB,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3,43.9,2.539146,,-10.2025093,,,,,,,,,,,,,,,,,,,
ALB,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.510059,,-9.253145,,,,,,,,,,,,,,,,,,,
ALB,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.408303,,-10.7969082,,,,,,,,,,,,,,,,,,,
ALB,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.506316,,-8.6073534,,,,,,,,,,,,,,,,,,,
ALB,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.612747,,-7.5699927,,,,,,,,,,,,,,,,,,,
ALB,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.837242,,-7.4876112,,,,,,,,,,,,,,,,,,,
ALB,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.081579,,-6.7433315,,,,,,,,,,,,,,,,,,,
ALB,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.275839,,-6.668315,,,,,,,,,,,,,,,,,,,
ALB,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.427197,,-6.8058426,,,,,,,,,,,,,,,,,,,
AND,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3,38.6,,,,,,,,,,,,,,,,,,,,,,
AND,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3,38.6,,,,,,,,,,,,,,,,,,,,,,
AND,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3,38.6,,,,,,,,,,,,,,,,,,,,,,
AND,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3,38.6,,,,,,,,,,,,,,,,,,,,,,
AND,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,38.7,,,,,,,,,,,,,,,,,,,,,,
AND,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,38.7,,,,,,,,,,,,,,,,,,,,,,
AND,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,38.7,,,,,,,,,,,,,,,,,,,,,,
AND,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,38.8,,,,,,,,,,,,,,,,,,,,,,
AND,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,38.7,,,,,,,,,,,,,,,,,,,,,,
AND,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,38.7,,,,,,,,,,,,,,,,,,,,,,
AND,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,38.7,,,,,,,,,,,,,,,,,,,,,,
AND,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,38.7,,,,,,,,,,,,,,,,,,,,,,
AND,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,38.8,,,,,,,,,,,,,,,,,,,,,,
AND,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,38.8,,,,,,,,,,,,,,,,,,,,,,
AND,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,38.8,,,,,,,,,,,,,,,,,,,,,,
AND,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,38.8,,,,,,,,,,,,,,,,,,,,,,
ARE,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9,39.4,,,,,,,,,,,,,,,,,,,,,,
ARG,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9,36,,,,,,,,,,,,,,,,,,,,,,
ARG,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8,36,,,,,,,,,,,,,,,,,,,,,,
ARG,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6,35.9,,,,,,,,,,,,,,,,,,,,,,
ARG,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6,35.9,,,,,,,,,,,,,,,,,,,,,,
ARG,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,35.8,,,,,,,,,,,,,,,,,,,,,,
ARG,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,35.8,,,,,,,,,,,,,,,,,,,,,,
ARG,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,35.9,,,,,,,,,,,,,,,,,,,,,,
ARG,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6,35.9,,,,,,,,,,,,,,,,,,,,,,
ARG,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6,35.9,,,,,,,,,,,,,,,,,,,,,,
ARG,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,36,,,,,,,,,,,,,,,,,,,,,,
ARG,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,36,,,,,,,,,,,,,,,,,,,,,,
ARG,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.3,36.1,,,,,,,,,,,,,,,,,,,,,,
ARG,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.3,36.1,,,,,,,,,,,,,,,,,,,,,,
ARG,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.2,36.2,,,,,,,,,,,,,,,,,,,,,,
ARG,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6,36.5,,,,,,,,,,,,,,,,,,,,,,
ARG,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,36.8,,,,,,,,,,,,,,,,,,,,,,
ARG,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,37.2,,,,,,,,,,,,,,,,,,,,,,
ARG,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9,37.5,,,,,,,,,,,,,,,,,,,,,,
ARG,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4,37.9,,,,,,,,,,,,,,,,,,,,,,
ARG,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9,38.3,,,,,,,,,,,,,,,,,,,,,,
ARG,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4,38.7,,,,,,,,,,,,,,,,,,,,,,
ARG,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9,39.1,,,,,,,,,,,,,,,,,,,,,,
ARG,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,39.5,,,,,,,,,,,,,,,,,,,,,,
ARG,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7,39.9,,,,,,,,,,,,,,,,,,,,,,
ARG,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1,40.2,,,,,,,,,,,,,,,,,,,,,,
ARG,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6,40.6,,,,,,,,,,,,,,,,,,,,,,
ARG,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1,41,,,,,,,,,,,,,,,,,,,,,,
ARG,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6,41.4,,,,,,,,,,,,,,,,,,,,,,
ARG,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,41.8,,,,,,,,,,,,,,,,,,,,,,
ARG,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,42.1,,,,,,,,,,,,,,,,,,,,,,
ARG,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3,42.3,,,,,,,,,,,,,,,,,,,,,,
ARG,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3,42.5,,,,,,,,,,,,,,,,,,,,,,
ARG,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6,42.8,,,,,,,,,,,,,,,,,,,,,,
ARG,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2,43.2,,,,,,,,,,,,,,,,,,,,,,
ARG,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7,43.7,,,,,,,,,,,,,,,,,,,,,,
ARG,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3,44,,,,,,,,,,,,,,,,,,,,,,
ARG,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9,44.5,,,,,,,,,,,,,,,,,,,,,,
